MESTO,Drzava,sifra,januar,februar,marec,april,maj,junij,julij,avgust,september,oktober,november,december,LETNO POVPRECJE
Vilnius,Lithuania,267300,-5.0,-4.4,-1.1,5.0,11.7,15.6,16.7,15.6,11.7,5.6,0.6,-3.3,5.0
Warsaw,Poland,57321,-1.7,-1.7,2.8,7.8,13.3,16.1,17.8,17.8,13.3,8.3,2.8,0.0,8.0
Helsinki,Finland,47920,-5.6,-6.1,-2.2,3.3,10.0,13.9,16.7,15.0,10.0,5.0,0.0,-3.9,4.0
Nicosia,Cyprus,60671,10.0,10.0,12.2,16.7,21.7,25.6,28.3,28.3,25.6,20.6,16.1,11.7,18.0
Stockholm,Sweden,6420,-2.8,-3.3,0.0,3.9,10.6,14.4,17.2,16.1,11.1,6.1,1.7,-2.2,6.0
Torshavn,Faroe Islands,11060,3.3,3.9,3.9,5.0,7.2,8.9,10.6,11.1,8.9,7.2,5.0,3.9,6.0
Lisbon,Portugal,63580,11.3,12.6,14.3,15.3,17.3,20.3,22.7,23.0,21.7,18.4,14.8,12.4,17.0
Minsk,Belarus,5862,-6.9,-6.2,-2.0,5.5,12.7,16.0,17.7,16.3,11.6,5.8,0.2,-4.3,5.0
Brussels,Belgium,15460,3.3,3.3,6.7,8.9,12.8,15.6,17.8,17.8,15.0,11.1,6.7,4.4,10.0
Podgorica,Montenegro,167041,5.6,5.6,10.0,15.0,17.8,23.9,26.1,27.8,22.2,17.2,11.7,7.2,15.0
Sofia,Bulgaria,41651,-1.1,1.1,5.6,10.0,14.4,17.8,20.0,20.0,16.7,11.7,4.4,0.6,10.0
San Marino,San Marino,528592,5.0,3.5,4.9,7.4,11.0,15.4,19.3,22.2,22.2,18.8,13.6,8.9,12.0
Amsterdam,Netherlands,4260,3.3,2.8,6.1,8.3,12.2,15.0,16.7,16.7,14.4,10.6,6.7,4.4,9.0
Athens,Greece,61761,10.3,10.6,12.3,15.9,20.7,25.2,28.0,27.8,24.2,19.5,15.4,12.0,18.0
Paris,France,94170,5.0,5.6,8.8,11.5,15.3,18.3,20.5,20.4,16.9,13.0,8.3,5.5,12.0
Vatican City,Holy See,24261,8.3,8.9,11.1,12.8,17.2,20.6,23.9,23.9,21.7,17.8,12.8,9.4,15.0
Copenhagen,Denmark,8160,0.6,0.0,2.8,6.1,11.7,15.0,16.7,16.7,13.3,9.4,5.0,2.2,8.0
Bratislava,Slovakia,61811,-0.6,1.1,6.1,10.0,15.0,18.3,20.6,20.0,16.7,10.6,4.4,1.1,10.0
Belgrade,Serbia,27231,1.4,3.1,7.6,12.9,18.1,21.0,23.0,22.7,18.0,12.9,7.1,2.7,12.0
Madrid,Spain,12280,5.4,7.2,9.8,11.7,15.6,20.7,24.5,24.2,20.2,14.4,9.2,6.4,14.0
Monte Carlo,Monaco,528525,8.4,7.2,8.5,10.4,12.9,16.5,20.0,22.8,22.8,20.2,16.1,11.5,14.0
Pristina,Kosovo,18431,-1.3,1.1,5.0,9.9,14.7,17.8,19.7,19.5,15.9,10.6,5.1,0.4,9.0
Rome,Italy,124261,8.3,9.1,10.6,13.2,16.9,20.6,23.4,23.6,20.9,17.0,12.7,9.5,15.0
Sarajevo,Bosnia and Herzegovina,35331,-1.1,1.1,5.6,9.4,14.4,17.2,19.4,19.4,16.1,11.1,4.4,0.0,9.0
Luxembourg,Luxembourg,9560,0.6,1.1,5.0,7.2,12.2,15.0,17.2,17.2,13.9,9.4,3.9,1.7,8.0
Vaduz,Liechtenstein,528523,2.3,0.0,0.9,6.0,9.4,13.8,16.2,18.8,18.2,15.5,11.3,4.9,9.0
Ankara,Turkey,82171,-2.8,0.0,4.4,9.4,13.3,17.2,20.6,20.6,16.7,11.1,5.0,0.6,9.0
Ljubljana,Slovenia,41031,-1.1,0.6,5.0,8.3,13.9,16.7,19.4,18.9,15.6,10.0,3.3,0.0,9.0
Dublin,Ireland,96930,5.3,5.3,6.8,8.3,10.9,13.6,15.6,15.3,13.4,10.5,7.4,5.6,9.0
Oslo,Norway,88410,-3.3,-3.3,0.6,5.0,12.2,15.6,17.8,16.1,11.7,6.7,1.1,-2.8,6.0
Kiev,Ukraine,64333,-6.1,-4.4,0.6,7.8,14.4,17.8,18.3,17.8,13.3,7.2,1.1,-2.8,7.0
Bern,Switzerland,303660,-1.2,0.5,3.7,7.3,11.5,14.9,17.3,16.4,13.3,8.6,3.1,-0.3,7.0
Tirane,Albania,51631,6.7,7.8,8.3,12.8,17.2,21.7,23.9,24.4,20.6,16.1,12.2,8.3,15.0
Budapest,Hungary,93821,-0.6,1.1,6.1,10.6,15.6,18.9,20.6,20.6,16.7,10.6,3.9,1.1,10.0
Moscow,Russia,551572,-8.9,-7.8,-2.2,5.6,12.2,15.6,17.2,15.6,10.0,3.9,-2.2,-6.1,4.0
Berlin,Germany,58301,-0.6,0.6,4.4,7.8,12.8,16.7,18.3,17.8,14.4,9.4,4.4,1.1,8.0
Skopje,Macedonia,68531,0.0,3.3,7.8,12.2,16.7,20.6,22.8,22.8,18.9,13.3,6.1,1.7,12.0
Bucharest,Romania,2451,-1.1,0.0,5.6,11.1,16.7,20.0,22.2,21.7,17.8,11.7,4.4,0.6,10.0
Zagreb,Croatia,142360,0.0,1.7,6.7,10.6,15.6,18.9,20.6,20.0,16.7,10.6,5.6,1.7,10.0
Vienna,Austria,63011,1.2,2.9,6.4,11.5,16.5,19.1,21.7,21.6,16.8,11.6,5.5,2.4,11.0
Riga,Latvia,22462,-3.3,-3.3,0.6,5.6,11.7,15.6,17.2,16.7,12.2,7.2,2.8,-1.7,6.0
Prague,Czech Republic,81511,-1.7,-1.1,3.9,7.2,12.8,15.6,17.2,17.2,13.9,8.3,2.8,0.0,8.0
Tallinn,Estonia,83062,-3.8,-4.6,-1.3,3.8,9.8,14.3,16.6,15.6,10.7,6.1,1.1,-2.1,5.0
Valletta,Malta,79561,12.2,12.2,13.3,15.6,18.9,22.8,26.1,26.1,24.4,21.1,16.7,13.9,18.0
Chisinau,Moldova,51833,-2.2,-1.1,3.3,10.0,16.1,19.4,20.6,20.6,16.7,10.6,3.9,0.0,9.0
