MESTO,Drzava,sifra,januar,februar,marec,april,maj,juni,juli,avgust,september,oktober,november,december,LETNO POVPRECJE,razlika od vnosa,izbrana temperatura
Barc,Albania,136290,0.0,1.7,5.0,7.8,12.8,16.7,18.9,18.9,15.0,10.0,5.6,1.7,9.0,12.8,12.8
Boric i Math,Albania,136000,3.9,5.6,8.9,12.8,17.8,21.7,23.9,23.9,20.0,15.0,10.0,5.6,14.0,8.9,12.8
Ceredzias,Albania,136150,5.6,6.7,8.9,12.8,16.7,20.6,22.8,22.8,18.9,15.0,10.6,7.8,14.0,7.2,12.8
Durres,Albania,11631,8.9,9.4,11.7,14.4,18.9,22.2,25.0,24.4,22.2,18.3,13.3,10.6,16.0,3.9,12.8
Fier,Albania,592653,10.0,10.0,11.7,13.9,17.8,21.7,24.4,23.9,21.7,17.8,14.4,11.1,16.0,2.8,12.8
Gjinokaster,Albania,52631,5.0,6.7,8.3,12.2,16.7,21.1,23.3,24.4,20.0,15.0,10.0,6.7,14.0,7.8,12.8
Korce,Albania,92631,0.6,2.8,3.3,8.9,13.9,17.8,20.6,21.7,16.1,11.7,6.7,2.8,10.0,12.2,12.8
Likaj,Albania,592655,10.0,10.0,11.7,13.9,17.8,21.7,24.4,23.9,21.7,17.8,14.4,11.1,16.0,2.8,12.8
Shkoder,Albania,631,5.6,5.6,7.8,12.8,17.8,21.7,25.0,25.6,21.1,15.6,10.6,6.7,14.0,7.2,12.8
Tirane,Albania,51631,6.7,7.8,8.3,12.8,17.2,21.7,23.9,24.4,20.6,16.1,12.2,8.3,15.0,6.1,12.8
Vlore,Albania,136220,8.9,8.9,10.6,13.9,17.8,21.7,23.9,23.9,20.6,16.7,12.8,10.0,15.0,3.9,12.8
